category,latitude,longitude
supermarket,26.2488371,50.6472915
supermarket,26.2478829,50.6504479
supermarket,26.2521444,50.6486936
school_all,26.2463238,50.6492297
food,26.2570211,50.6486465
supermarket,26.2590598,50.6415702
supermarket,26.2547237,50.6490763
food,26.2546209,50.6491518
food,26.2570912,50.6486027
supermarket,26.2546512,50.6455268
food,26.254831,50.645562
food,26.254766,50.6454286
food,26.2588882,50.6453944
food,26.2486658,50.6438841
food,26.2569536,50.648719
food,26.2551749,50.6454948
food,26.2572433,50.6484864
supermarket,26.2584441,50.6414706
food,26.2569905,50.6483282
food,26.2587093,50.6454779
food,26.2571596,50.6485522
food,26.2553184,50.6454788
supermarket,26.256192,50.648027
food,26.2558496,50.6401599
supermarket,26.2532782,50.6445951
supermarket,26.2551181,50.6410412
food,26.2508961,50.6431428
school_all,26.2537925,50.642566
school_all,26.2494458,50.6368298
supermarket,26.2463543,50.6357303
supermarket,26.2409651,50.6356285
supermarket,26.2523446,50.6324758
food,26.24646,50.6358256
food,26.2560555,50.6360963
food,26.2561744,50.6360963
supermarket,26.2461879,50.635772
supermarket,26.2540948,50.6306239
food,26.2545114,50.6292175
food,26.255155,50.6323831
food,26.255066,50.632162
supermarket,26.2544474,50.6289232
school_all,26.1785242,50.5528677
supermarket,26.2564037,50.6337769
food,26.2553163,50.6327498
supermarket,26.2573812,50.63346
supermarket,26.2585596,50.6352531
food,26.2551351,50.631438
food,26.2587096,50.628507
food,26.2569775,50.6336247
supermarket,26.2568481,50.6333186
food,26.2591925,50.6349655
food,26.2554749,50.6320119
food,26.2560109,50.634641
food,26.2563163,50.633805
food,26.2340251,50.5751831
food,26.2302237,50.5996716
food,26.2111998,50.6094208
food,26.211204,50.6093367
food,26.2716713,50.605496
supermarket,26.2736526,50.6055347
food,26.2112032,50.6092261
food,26.2114896,50.6080352
food,26.2111453,50.6101431
food,26.2112036,50.6090096
food,26.2170843,50.6048407
supermarket,26.2722151,50.6083382
supermarket,26.2692014,50.606351
supermarket,26.2693361,50.6087863
supermarket,26.2712308,50.6074908
supermarket,26.2703137,50.6063565
supermarket,26.2697336,50.606604
supermarket,26.2671173,50.6069617
food,26.2676457,50.6150579
supermarket,26.2711084,50.6094687
supermarket,26.2716074,50.6093587
food,26.2670655,50.6153609
healthcare,26.2694837,50.6139688
food,26.2718342,50.6093082
supermarket,26.2638204,50.6053007
supermarket,26.2635029,50.6095805
school_all,26.2631263,50.6058895
supermarket,26.2657213,50.6043514
supermarket,26.2651183,50.6077544
supermarket,26.2658122,50.6069048
supermarket,26.26694,50.6158974
supermarket,26.2637077,50.60851
supermarket,26.2647225,50.6183851
supermarket,26.2640583,50.618979
food,26.261908,50.6173988
supermarket,26.2620512,50.6172886
food,26.2635734,50.6165951
supermarket,26.263242,50.6164835
school_all,26.2623494,50.6193652
supermarket,26.2597956,50.6163518
food,26.2621138,50.6146468
supermarket,26.2596453,50.6175204
supermarket,26.2585876,50.6193261
food,26.2615383,50.6123392
food,26.2613754,50.6116121
supermarket,26.256861,50.6133477
supermarket,26.2602415,50.6168252
supermarket,26.2577717,50.6162279
supermarket,26.259792,50.6171887
food,26.2616914,50.6121991
food,26.2613462,50.6113529
food,26.257801,50.6167543
food,26.2612335,50.6152913
food,26.2608616,50.6124806
supermarket,26.2574445,50.6190896
healthcare,26.2612315,50.6146835
supermarket,26.2558001,50.6196536
food,26.2614933,50.6147752
supermarket,26.2598015,50.6121089
food,26.2547756,50.6186245
food,26.2607101,50.612029
supermarket,26.2611397,50.6144927
supermarket,26.2565039,50.6167738
supermarket,26.2611786,50.613331
food,26.2610287,50.613342
food,26.2610827,50.6137306
school_all,26.2551139,50.6182055
food,26.2616712,50.6120964
food,26.2616792,50.6113469
supermarket,26.2538812,50.6141868
food,26.2484085,50.6167854
supermarket,26.255395,50.6159142
supermarket,26.2530893,50.6188903
supermarket,26.2540022,50.6145181
food,26.2528301,50.6187169
supermarket,26.2514094,50.6169156
supermarket,26.2518034,50.617703
food,26.2544218,50.6152097
supermarket,26.2538976,50.6198216
supermarket,26.2509232,50.619544
supermarket,26.2443065,50.6150876
supermarket,26.2444975,50.6153406
supermarket,26.2528732,50.6142518
supermarket,26.2440458,50.6146449
supermarket,26.2448133,50.6159786
healthcare,26.2524132,50.6141539
food,26.2777451,50.6622668
food,26.2789024,50.6651845
food,26.2525895,50.619228
food,26.2495302,50.6205264
supermarket,26.2528945,50.61558
supermarket,26.2520149,50.6178659
healthcare,26.2476586,50.6093592
supermarket,26.2492997,50.6142807
supermarket,26.2482401,50.6147602
supermarket,26.2476555,50.6143465
food,26.2028443,50.5971553
school_all,26.2516662,50.6139234
food,26.2478308,50.6171713
supermarket,26.250732,50.6117769
supermarket,26.2500511,50.6118643
supermarket,26.2478825,50.6173035
supermarket,26.247691,50.6164197
supermarket,26.2474828,50.6160227
supermarket,26.2501023,50.6106796
supermarket,26.2502158,50.6119422
food,26.252766,50.6140573
food,26.2510095,50.6084045
school_all,26.253001,50.6123432
supermarket,26.2461235,50.613474
food,26.254273,50.6122096
food,26.2540335,50.6111135
food,26.2560023,50.6060872
food,26.2586435,50.6051991
