name,category,major,latitude,longitude,address,rating,user_ratings_total,verified,verification_note,place_id
Abdul Rahman Kanoo International School,international_school,,26.1796078,50.5367694,"Abdulrahman kanoo Interaltional School, Building# 192 Rd 408, Salmabad",,,True,reverse geocode country=BH,ChIJq6yJUkquST4RNLeGy6FQ7ks
Al Hekma International School,international_school,,26.151782,50.5757356,"1962 Rd No 4363, Sanad",,,True,reverse geocode country=BH,ChIJP_gB4iGsST4ROGPG62W6Trg
Al Iman School,international_school,,26.161188,50.5520616,"201 Rd No 4112, Isa Town",,,True,reverse geocode country=BH,ChIJqT_rsWOuST4R7pgBoVMLh5M
Al mahd school (saar),international_school,,26.2004611,50.4874533,"6F2P+5XP, Rd No 1727, Saar",,,True,reverse geocode country=BH,ChIJZyLVIHGwST4RgJHvydSSACY
Al Noor International School,international_school,,26.1676025,50.6022422,"5J92+2VX, Sitra",,,True,reverse geocode country=BH,ChIJM5eVj1apST4RpreUjhqW_nI
Al Raja School,international_school,,26.2323125,50.5846001,6HMP+39C، Building 1940 Road 639، Manama 306,,,True,reverse geocode country=BH,ChIJiR89PVqvST4R_0hnMLXNmGA
Al Rawabi Private School,international_school,,26.214052,50.5280141,Block: 435، Road: 3514، Jeblat Hebshi,,,True,reverse geocode country=BH,ChIJaVKjE_GvST4RJFcqVbcXQrQ
Al Wisam School,international_school,,26.2158125,50.4971875,Abu Saiba,,,True,reverse geocode country=BH,ChIJqTPIkqO6ST4Rd-_BB2kFXE4
AlNaseem International School,international_school,,26.1528463,50.5411665,"30, road, 18, 922 Avenue 38, الرفاع",,,True,reverse geocode country=BH,ChIJz8z1u3GuST4RY3TeQItr49s
American Creativity Academy (ACA) Bahrain,international_school,,26.2421373,50.6466223,"Building 101, Avenue 14, Al Hidd 109",,,True,reverse geocode country=BH,ChIJJ70qZGaoST4RjlK61XBAx8c
American School of Bahrain,international_school,,26.1566171,50.5610132,"Building 1528, Road 3429 North Riffa، Riffa 934",,,True,reverse geocode country=BH,ChIJlwmFvTGvST4Rdz6YBAPyAIg
Arabian Pearl Gulf Private School,international_school,,26.2060695,50.5528575,"Rd No 6359, Bilad Al Qadeem",,,True,reverse geocode country=BH,ChIJc6y4UKCvST4RG9eMLlAJDk4
Bahrain Bayan School,international_school,,26.1613836,50.5491434,"4111, Block 841, مدينة عيسى",,,True,reverse geocode country=BH,ChIJaxVvE2SuST4RdCNb9_5MNEA
Bahrain Indian School,international_school,,26.2189452,50.4985106,"6F9X+HCC, Hwy 54, Abu Saiba",,,True,reverse geocode country=BH,ChIJ3RDBpKS6ST4RuINl4BeaKgI
Bahrain School,international_school,,26.2093677,50.6042384,"8J53+9FC, Manama",,,True,reverse geocode country=BH,ChIJ_W-n59aoST4RjSa-L0VaCFo
Britus International School - Bahrain,international_school,,26.1767821,50.5384687,"Building 208 Rd 408, Salmabad",,,True,reverse geocode country=BH,ChIJe9gyOkmuST4RHgRKXaoxx7s
Capital School Bahrain,international_school,,26.1934555,50.5126776,"Rd 5755, Bu Quwah 314",,,True,reverse geocode country=BH,ChIJUQWKARevST4Rvg-znudUR44
Creativity Private School - Manama,international_school,,26.220513,50.582306,"214 Rd No 907, Manama 309",,,True,reverse geocode country=BH,ChIJT7V_6EavST4RlpdfSLQdRb0
Delmon Private School,international_school,,26.2242386,50.4766208,Barbar,,,True,reverse geocode country=BH,ChIJBeU-kUK7ST4RLcLwe5564GM
French International School of Bahrain,international_school,,26.2674142,50.6025754,"Bldg 43 - Av. 8 - Busaiteen 0025, المحرق",,,True,reverse geocode country=BH,ChIJO6FXoVGnST4RordpR0r-10g
Hawar International School,international_school,,26.1184403,50.5514265,Building 22 Avenue 42، Riffa,,,True,reverse geocode country=BH,ChIJSSIx4K2tST4ReCmig2H_s1k
