iter	Passed	Remaining
537	11512	52684
538	11534	52664
539	11554	52638
540	11577	52623
541	11599	52603
542	11623	52596
543	11649	52596
544	11677	52601
545	11700	52587
546	11716	52540
547	11733	52500
548	11751	52465
549	11775	52455
550	11801	52452
551	11824	52437
552	11844	52413
553	11875	52431
554	11901	52431
555	11931	52445
556	11950	52414
557	11968	52376
558	11989	52356
559	12007	52319
560	12031	52308
561	12055	52296
562	12078	52283
563	12098	52254
564	12118	52229
565	12137	52195
566	12161	52184
567	12182	52161
568	12201	52131
569	12223	52109
570	12246	52097
571	12267	52071
572	12293	52069
573	12322	52080
574	12343	52057
575	12361	52021
576	12381	51992
577	12400	51962
578	12420	51932
579	12440	51905
580	12459	51876
581	12479	51848
582	12502	51832
583	12522	51805
584	12542	51777
585	12563	51755
586	12586	51738
587	12610	51728
588	12632	51707
589	12657	51701
590	12683	51701
591	12708	51694
592	12730	51674
593	12750	51645
594	12772	51626
595	12796	51616
596	12827	51632
597	12854	51634
598	12876	51612
599	12896	51587
600	12918	51565
601	12939	51543
602	12960	51519
603	12981	51497
604	13000	51463
605	13021	51441
606	13042	51419
607	13063	51394
608	13083	51365
609	13102	51336
610	13123	51312
611	13143	51283
612	13162	51255
613	13183	51230
614	13202	51198
615	13225	51182
616	13243	51150
617	13263	51123
618	13283	51096
619	13303	51067
620	13323	51039
621	13343	51014
622	13363	50985
623	13383	50961
624	13405	50940
625	13428	50926
626	13452	50911
627	13483	50926
628	13516	50950
629	13538	50932
630	13565	50929
631	13586	50906
632	13615	50911
633	13638	50898
634	13657	50867
635	13678	50842
636	13698	50814
637	13718	50789
638	13738	50761
639	13760	50740
640	13780	50715
641	13800	50686
642	13818	50654
643	13839	50629
644	13858	50597
645	13878	50573
646	13897	50543
647	13917	50513
648	13936	50483
649	13956	50456
650	13975	50427
651	13994	50396
652	14013	50367
653	14032	50336
654	14052	50309
655	14071	50278
656	14089	50246
657	14109	50218
658	14128	50190
659	14147	50159
660	14166	50130
661	14190	50116
662	14209	50087
663	14230	50064
664	14258	50065
665	14290	50081
666	14318	50081
667	14345	50079
668	14371	50074
669	14393	50055
670	14411	50021
671	14429	49988
672	14450	49964
673	14468	49932
674	14487	49901
675	14506	49872
676	14525	49840
677	14545	49814
678	14564	49786
679	14585	49763
680	14605	49736
681	14625	49709
682	14645	49684
683	14671	49678
684	14691	49651
685	14712	49627
686	14735	49612
687	14757	49591
688	14777	49565
689	14797	49538
690	14819	49520
691	14838	49489
692	14861	49473
693	14882	49449
694	14904	49432
695	14930	49425
696	14951	49401
697	14969	49370
698	14990	49346
699	15009	49315
700	15027	49285
701	15046	49256
702	15067	49232
703	15087	49206
704	15108	49181
705	15127	49154
706	15148	49131
707	15172	49119
708	15194	49099
709	15214	49072
710	15235	49049
711	15258	49033
712	15282	49020
713	15304	49000
714	15325	48976
715	15348	48960
716	15370	48941
717	15399	48943
718	15424	48934
719	15446	48913
720	15467	48889
721	15489	48871
722	15511	48852
723	15537	48845
724	15566	48845
725	15601	48866
726	15632	48877
727	15660	48874
728	15682	48855
729	15702	48827
730	15720	48795
731	15737	48760
732	15757	48734
733	15777	48709
734	15798	48684
735	15816	48651
736	15836	48626
737	15856	48600
738	15879	48584
739	15901	48564
740	15921	48539
741	15940	48510
742	15960	48482
743	15980	48457
744	15998	48425
745	16018	48398
746	16039	48376
747	16061	48355
748	16080	48326
749	16102	48307
750	16125	48291
751	16146	48266
752	16166	48241
753	16187	48217
754	16207	48193
755	16233	48183
756	16253	48158
757	16277	48144
758	16301	48131
759	16325	48116
760	16352	48111
761	16379	48106
762	16399	48079
763	16418	48052
764	16439	48029
765	16460	48007
766	16480	47980
767	16501	47958
768	16521	47931
769	16541	47904
770	16577	47927
771	16601	47910
772	16625	47898
773	16648	47881
774	16673	47869
775	16698	47857
776	16723	47846
777	16748	47834
778	16774	47824
779	16800	47815
780	16826	47809
781	16852	47797
782	16876	47784
783	16900	47768
784	16924	47754
785	16946	47734
786	16970	47719
787	16995	47708
788	17017	47687
789	17040	47669
790	17061	47646
791	17081	47620
792	17104	47604
793	17136	47609
794	17163	47603
795	17188	47591
796	17216	47588
797	17249	47597
798	17280	47603
799	17302	47582
800	17321	47552
801	17342	47528
802	17363	47505
803	17382	47477
804	17403	47454
805	17422	47425
806	17444	47404
807	17462	47374
808	17485	47355
809	17506	47331
810	17527	47308
811	17548	47285
812	17570	47266
813	17594	47251
814	17618	47235
815	17641	47217
816	17665	47200
817	17692	47194
818	17714	47173
819	17737	47155
820	17761	47139
821	17787	47130
822	17813	47119
823	17838	47106
824	17864	47098
825	17889	47083
826	17910	47061
827	17932	47040
828	17955	47021
829	17977	47001
830	17999	46980
831	18019	46954
832	18040	46930
833	18061	46908
834	18083	46888
835	18104	46864
836	18123	46834
837	18142	46807
838	18164	46786
839	18192	46780
840	18214	46760
841	18237	46740
842	18258	46717
843	18278	46693
844	18300	46672
845	18320	46645
846	18339	46618
847	18360	46593
848	18384	46577
849	18402	46548
850	18420	46516
851	18440	46491
852	18462	46470
853	18482	46444
854	18505	46425
855	18527	46405
856	18548	46380
857	18569	46359
858	18591	46337
859	18611	46313
860	18632	46289
861	18654	46268
862	18674	46242
863	18695	46220
864	18715	46193
865	18740	46180
866	18764	46164
867	18790	46153
868	18816	46142
869	18836	46116
870	18857	46092
871	18877	46067
872	18896	46039
873	18916	46015
874	18936	45989
875	18956	45962
876	18975	45935
877	18998	45917
878	19027	45913
879	19052	45899
880	19082	45897
881	19109	45889
882	19131	45869
883	19152	45843
884	19171	45816
885	19189	45786
886	19210	45763
887	19228	45733
888	19247	45705
889	19268	45680
890	19288	45654
891	19307	45629
892	19328	45605
